goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillStack/0-4         	50000000	        35.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/0-4         	50000000	        33.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillStack/1-4         	10000000	       169 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       172 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       171 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       173 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       172 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       169 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       169 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       173 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       176 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/1-4         	10000000	       174 ns/op	     160 B/op	       4 allocs/op
BenchmarkFillStack/10-4        	 3000000	       573 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       566 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       565 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       569 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       589 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 2000000	       591 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       577 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       582 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       566 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/10-4        	 3000000	       565 ns/op	     560 B/op	      14 allocs/op
BenchmarkFillStack/100-4       	  300000	      4686 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4687 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4809 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4710 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4721 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4709 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4727 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4714 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4799 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/100-4       	  300000	      4694 ns/op	    7120 B/op	     106 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36734 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36134 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36504 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36508 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36572 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36442 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36410 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     36368 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     35756 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/1000-4      	   50000	     35817 ns/op	   37904 B/op	    1007 allocs/op
BenchmarkFillStack/10000-4     	    5000	    345839 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    344408 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    351983 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    353564 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    353098 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    351612 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    350078 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    351522 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    355363 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/10000-4     	    5000	    352763 ns/op	  329792 B/op	   10025 allocs/op
BenchmarkFillStack/100000-4    	     500	   3888784 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3822473 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3833460 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3812098 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3844695 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3798068 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   4040210 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3834038 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3855444 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/100000-4    	     500	   3829395 ns/op	 3215808 B/op	  100201 allocs/op
BenchmarkFillStack/1000000-4   	      30	  43119084 ns/op	32059536 B/op	 1001959 allocs/op
BenchmarkFillStack/1000000-4   	      30	  43339090 ns/op	32059536 B/op	 1001959 allocs/op
BenchmarkFillStack/1000000-4   	      30	  42893584 ns/op	32059536 B/op	 1001959 allocs/op
BenchmarkFillStack/1000000-4   	      30	  43017382 ns/op	32059536 B/op	 1001959 allocs/op
BenchmarkFillStack/1000000-4   	      30	  43977792 ns/op	32059536 B/op	 1001959 allocs/op
BenchmarkFillStack/1000000-4   	      30	  43059369 ns/op	32059536 B/op	 1001959 allocs/op
