goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillCookiejar/0-4         	  200000	      9878 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	      9839 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	      9789 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	      9793 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     10059 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     11893 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     10138 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	      9975 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     10698 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/0-4         	  200000	     10147 ns/op	   65648 B/op	       3 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	     10517 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	     11126 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	     10494 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9936 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9842 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9826 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	      9892 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  100000	     12491 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  100000	     12097 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/1-4         	  200000	     11337 ns/op	   65664 B/op	       4 allocs/op
BenchmarkFillCookiejar/10-4        	  100000	     13798 ns/op	   65808 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  100000	     10758 ns/op	   65808 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     10130 ns/op	   65808 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  200000	     10437 ns/op	   65808 B/op	      13 allocs/op
BenchmarkFillCookiejar/10-4        	  100000	     10386 ns/op	   65808 B/op	      13 allocs/op
