goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillList/0-4         	30000000	        40.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	30000000	        40.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	30000000	        39.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	50000000	        40.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	50000000	        42.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	30000000	        41.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	30000000	        45.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	30000000	        43.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/0-4         	50000000	        44.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillList/1-4         	10000000	       119 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       116 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       114 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       112 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       114 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       111 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	10000000	       114 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       123 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       116 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/1-4         	20000000	       114 ns/op	     112 B/op	       3 allocs/op
BenchmarkFillList/10-4        	 2000000	       741 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       736 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       754 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       747 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       778 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       877 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       744 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       745 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       743 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/10-4        	 2000000	       738 ns/op	     688 B/op	      21 allocs/op
BenchmarkFillList/100-4       	  200000	      6900 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      6762 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      7038 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      6853 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      7138 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      7074 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      7435 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      7118 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      6837 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/100-4       	  200000	      6880 ns/op	    6448 B/op	     201 allocs/op
BenchmarkFillList/1000-4      	   20000	     74684 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     69548 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     69407 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     74360 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     70584 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     69921 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     69205 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     71901 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     72573 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/1000-4      	   20000	     76925 ns/op	   64048 B/op	    2001 allocs/op
BenchmarkFillList/10000-4     	    2000	    717025 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    742615 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    725419 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    751867 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    708781 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    770638 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    737938 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    702416 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    699991 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/10000-4     	    2000	    704110 ns/op	  640048 B/op	   20001 allocs/op
BenchmarkFillList/100000-4    	     100	  22291867 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  19443568 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  21511259 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  21350623 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  21932963 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  19391170 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  20926092 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  19614450 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  20260020 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/100000-4    	     100	  19756947 ns/op	 6400048 B/op	  200001 allocs/op
BenchmarkFillList/1000000-4   	      10	 153722714 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 164740428 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 151144004 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 171527899 ns/op	64000057 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 159790244 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 159462805 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 158860665 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 197292029 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 158469640 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkFillList/1000000-4   	      10	 148771816 ns/op	64000048 B/op	 2000001 allocs/op
BenchmarkMicroserviceList/0-4 	30000000	        40.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        39.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        38.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        39.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        39.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        39.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        43.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	30000000	        40.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        39.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/0-4 	50000000	        41.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       506 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       528 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       506 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       507 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       495 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       491 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       497 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       491 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       492 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/1-4 	 3000000	       493 ns/op	     496 B/op	      15 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      4702 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      4742 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      5030 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      5073 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      4996 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      5184 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      5126 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      4900 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      4877 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/10-4         	  300000	      5196 ns/op	    4528 B/op	     141 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     48606 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     48673 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     46942 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     46183 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     46282 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     48693 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     54886 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     48423 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     46686 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/100-4        	   30000	     46777 ns/op	   44848 B/op	    1401 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    466101 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    460650 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    458543 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    457160 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    464119 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    506730 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    513350 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    476921 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    3000	    463346 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/1000-4       	    2000	    526844 ns/op	  448048 B/op	   14001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5629803 ns/op	 4480049 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5282783 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5265449 ns/op	 4480048 B/op	  140001 allocs/op
